,Código DANE,Municipio,Departamento,clasificacion,Recurso Natural,min agrupado,Año Liquidado,Periodo,Regalías causadas,Índice,year,regalias_causadas_pc,indice_2024
90,5315,Guadalupe - Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,96409812.69,78.05,2012,179537428.91756526,53.69900486559081
91,5315,Guadalupe - Antioquia,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,412226.74,78.05,2012,767661.7863437284,53.69900486559081
92,5360,Itagui,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,977086.76,78.05,2012,1819562.1361059835,53.69900486559081
93,5360,Itagui,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS,Arcillas (Ton),2012,2012,231843.0,78.05,2012,431745.4310006406,53.69900486559081
94,5360,Itagui,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2012,2012,8015544.66,78.05,2012,14926802.982779656,53.69900486559081
95,5361,Ituango,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,2277802.32,78.05,2012,4241796.148180705,53.69900486559081
96,5361,Ituango,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,5963.6,78.05,2012,11105.606174503524,53.69900486559081
97,5364,Jardin,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,1642003.46,78.05,2012,3057791.2274351316,53.69900486559081
98,5364,Jardin,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,4986.62,78.05,2012,9286.242850275465,53.69900486559081
99,5390,La Pintada,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,762550.78,78.05,2012,1420046.389888738,53.69900486559081
100,5390,La Pintada,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,715.34,78.05,2012,1332.128969224856,53.69900486559081
101,5400,La Union - Antioquia,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CAOLINITICA,Arcillas (Ton),2012,2012,2667914.71,78.05,2012,4968275.8864485845,53.69900486559081
102,5425,Maceo,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,27813116.58,78.05,2012,51794473.00674665,53.69900486559081
103,5425,Maceo,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,13827.62,78.05,2012,25750.23510139654,53.69900486559081
104,5425,Maceo,Antioquia,Otro Mineral No Metalico (Ton),CALIZAS,Calizas (Ton),2012,2012,540600.0,78.05,2012,1006722.5665598975,53.69900486559081
105,5467,Montebello,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS FERRUGINOSAS,Arcillas (Ton),2012,2012,1047236.41,78.05,2012,1950197.052294068,53.69900486559081
106,5467,Montebello,Antioquia,Otro Mineral No Metalico (Ton),CALIZAS,Calizas (Ton),2012,2012,11526865.89,78.05,2012,21465697.397655454,53.69900486559081
107,5467,Montebello,Antioquia,Otro Mineral No Metalico (Ton),FELDESPATOS,Otros Min no Met (Ton),2012,2012,1413367.0,78.05,2012,2632017.117519539,53.69900486559081
108,5467,Montebello,Antioquia,Otro Mineral No Metalico (Ton),TALCO,Otros Min no Met (Ton),2012,2012,102480.0,78.05,2012,190841.52538116593,53.69900486559081
109,5480,Mutata,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,12468976.61,78.05,2012,23220126.036245894,53.69900486559081
110,5480,Mutata,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,2635.82,78.05,2012,4908.508093581038,53.69900486559081
111,5483,Nariño - Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,33684792.230000004,78.05,2012,62728894.724051975,53.69900486559081
112,5495,Nechi,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,1621879296.75,78.05,2012,3020315368.617317,53.69900486559081
113,5495,Nechi,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,2982141.92,78.05,2012,5553439.821583908,53.69900486559081
114,5579,Puerto Berrio,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,1281937776.24,78.05,2012,2387265424.096227,53.69900486559081
115,5579,Puerto Berrio,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,1976299.92,78.05,2012,3680328.760182242,53.69900486559081
116,5579,Puerto Berrio,Antioquia,Metales Preciosos (Gr),PLATINO,Platino (Gr),2012,2012,538325.42,78.05,2012,1002486.7711188213,53.69900486559081
117,5585,Puerto Nare,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2012,2012,70812.0,78.05,2012,131868.36548878925,53.69900486559081
118,5585,Puerto Nare,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,12861618.76,78.05,2012,23951316.77429176,53.69900486559081
119,5585,Puerto Nare,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,10559.2,78.05,2012,19663.679106213967,53.69900486559081
120,5585,Puerto Nare,Antioquia,Otro Mineral No Metalico (Ton),CALIZAS,Calizas (Ton),2012,2012,14242620.04,78.05,2012,26523061.415475823,53.69900486559081
121,5591,Puerto Triunfo,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2012,2012,2486817.56,78.05,2012,4631030.996243844,53.69900486559081
